"sex","age","delta","g","adj_formula_fed","intake_ref","act","intake_act"
"female",193,10.5723088063364,-5.02086340229715,1.0749529167223,956.041956355456,0.99,946.481536791902
"female",194,10.5863341260836,-4.8919394929065,1.07456008931779,956.170051833084,0.99,946.608351314753
"female",195,10.6004493061184,-4.7647552024699,1.07418274666284,956.301723708109,0.99,946.738706471028
"female",196,10.6146529029444,-4.63929492468821,1.07382061560577,956.436942339704,0.99,946.872572916307
"female",197,10.6289434730655,-4.51554305326234,1.07347342299492,956.575678087044,0.99,947.009921306174
"female",198,10.6433195729855,-4.39348398189318,1.07314089567861,956.717901309302,0.99,947.150722296209
"female",199,10.6577797592083,-4.27310210428162,1.07282276050518,956.863582365653,0.99,947.294946541996
"female",200,10.6723225882375,-4.15438181412856,1.07251874432297,957.012691615269,0.99,947.442564699117
"female",201,10.686946616577,-4.03730750513488,1.07222857398029,957.165199417327,0.99,947.593547423153
"female",202,10.7016504007305,-3.92186357100149,1.0719519763255,957.321076130998,0.99,947.747865369688
"female",203,10.716432497202,-3.80803440542926,1.07168867820691,957.480292115458,0.99,947.905489194303
"female",204,10.7312914624951,-3.69580440211911,1.07143840647287,957.64281772988,0.99,948.066389552581
"female",205,10.7462258531136,-3.58515795477191,1.07120088797169,957.808623333439,0.99,948.230537100104
"female",206,10.7612342255614,-3.47607945708856,1.07097584955173,957.977679285307,0.99,948.397902492454
"female",207,10.7763151363422,-3.36855330276995,1.0707630180613,958.14995594466,0.99,948.568456385213
"female",208,10.7914671419599,-3.26256388551698,1.07056212034874,958.32542367067,0.99,948.742169433964
"female",209,10.8066887989182,-3.15809559903054,1.07037288326239,958.504052822513,0.99,948.919012294288
"female",210,10.8219786637209,-3.05513283701152,1.07019503365057,958.685813759362,0.99,949.098955621769
"female",211,10.8373352928718,-2.95365999316081,1.07002829836162,958.870676840391,0.99,949.281970071987
"female",212,10.8527572428748,-2.85366146117931,1.06987240424387,959.058612424774,0.99,949.468026300526
"female",213,10.8682430702335,-2.75512163476791,1.06972707814565,959.249590871685,0.99,949.657094962968
